ResponseEntity, CLASS/INTERFACE, 1184, 69, 5.4 Web Improvements, org.springframework.http.ResponseEntity, @null
WebContentGenerator, CLASS/INTERFACE, 1184, 114, 5.4 Web Improvements, org.springframework.web.servlet.support.WebContentGenerator, @null
ResourceHttpRequestHandler, CLASS/INTERFACE, 1185, 1, 5.4 Web Improvements, org.springframework.web.servlet.resource.ResourceHttpRequestHandler, @null
WebRequest, CLASS/INTERFACE, 1187, 40, 5.4 Web Improvements, org.springframework.web.context.request.WebRequest, @null
AbstractHandlerMethodMapping, CLASS/INTERFACE, 1192, 19, 5.4 Web Improvements, org.springframework.web.servlet.handler.AbstractHandlerMethodMapping, @null
createDispatcherServlet, UNIDENTIFIED-TYPE, 1195, 11, 5.4 Web Improvements, null, @null
AbstractDispatcherServletInitializer, CLASS/INTERFACE, 1195, 74, 5.4 Web Improvements, org.springframework.web.servlet.support.AbstractDispatcherServletInitializer, @null
DispatcherServlet, CLASS/INTERFACE, 1196, 23, 5.4 Web Improvements, org.springframework.web.servlet.support.DispatcherServletInitializerTests.MyDispatcherServlet, @null
HandlerMethod, CLASS/INTERFACE, 1198, 1, 5.4 Web Improvements, org.springframework.web.method.support.InvocableHandlerMethod, @null
java.util.concurrent.CompletableFuture, PACKAGE, 1201, 1, 5.4 Web Improvements, null, @null
HttpHeaders, CLASS/INTERFACE, 1203, 31, 5.4 Web Improvements, org.springframework.web.socket.WebSocketHttpHeaders, @null
UriTemplateHandler, CLASS/INTERFACE, 1207, 20, 5.4 Web Improvements, org.springframework.web.util.DefaultUriTemplateHandler, @null
RestTemplate, CLASS/INTERFACE, 1207, 91, 5.4 Web Improvements, org.springframework.web.client.RestTemplate, @null
DefaultUriTemplateHandler, CLASS/INTERFACE, 1209, 1, 5.4 Web Improvements, org.springframework.web.util.DefaultUriTemplateHandler, @null
baseUrl, UNIDENTIFIED-TYPE, 1209, 64, 5.4 Web Improvements, null, @null
RestTemplate, CLASS/INTERFACE, 1214, 103, 5.4 Web Improvements, org.springframework.web.client.RestTemplate, @null
baseUrl, UNIDENTIFIED-TYPE, 1216, 8, 5.4 Web Improvements, null, @null
MvcUriComponentsBuilder, CLASS/INTERFACE, 1216, 72, 5.4 Web Improvements, org.springframework.web.servlet.mvc.method.annotation.MvcUriComponentsBuilder, @null
RequestBodyAdvice, CLASS/INTERFACE, 1222, 5, 5.4 Web Improvements, org.springframework.web.servlet.mvc.method.annotation.RequestBodyAdvice, @null
ScriptTemplateView, CLASS/INTERFACE, 1228, 12, 5.4 Web Improvements, org.springframework.web.servlet.view.script.ScriptTemplateView, @null
SimpUserRegistry, CLASS/INTERFACE, 1236, 5, 5.5 WebSocket Messaging Improvements, org.springframework.messaging.simp.user.SimpUserRegistry, @null
StompSubProtocolErrorHandler, CLASS/INTERFACE, 1243, 1, 5.5 WebSocket Messaging Improvements, org.springframework.web.socket.messaging.StompSubProtocolErrorHandler, @null
