org.apache.http.client.entity.GzipDecompressingEntity, @stereotype DEGENERATE@stereotype DEGENERATE
org.apache.http.client.entity.UrlEncodedFormEntity, @stereotype DEGENERATE@stereotype DEGENERATE
org.apache.http.client.entity.EntityBuilder, @stereotype @stereotype 
org.apache.http.client.entity.DecompressingEntity, @stereotype @stereotype 
org.apache.http.client.entity.DeflateInputStream, @stereotype MINIMAL_ENTITY@stereotype MINIMAL_ENTITY
org.apache.http.client.entity.GzipCompressingEntity, @stereotype LAZY_CLASS@stereotype LAZY_CLASS
org.apache.http.client.entity.InputStreamFactory, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.client.CredentialsProvider, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.client.AuthCache, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.client.ClientProtocolException, @stereotype DEGENERATE@stereotype DEGENERATE
org.apache.http.client.HttpRequestRetryHandler, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.client.config.RequestConfig, @stereotype DATA_PROVIDER@stereotype DATA_PROVIDER
org.apache.http.client.config.AuthSchemes, @stereotype POOL@stereotype POOL
org.apache.http.client.config.CookieSpecs, @stereotype POOL@stereotype POOL
org.apache.http.client.AuthenticationStrategy, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.client.ConnectionBackoffStrategy, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.client.CircularRedirectException, @stereotype DEGENERATE@stereotype DEGENERATE
org.apache.http.client.UserTokenHandler, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.conn.ConnectionKeepAliveStrategy, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.conn.routing.RouteTracker, @stereotype @stereotype 
org.apache.http.conn.routing.RouteInfo, @stereotype INTERFACE@stereotype INTERFACE
org.apache.http.conn.routing.HttpRoute, @stereotype DATA_PROVIDER@stereotype DATA_PROVIDER
org.apache.http.conn.routing.HttpRouteDirector, @stereotype INTERFACE@stereotype INTERFACE
